"index","position","company","key_words","city","state"
"1136","Senior Scientist, Biomolecular Interactions","Merck","data, research, development, skills, ability, analysis, years, including, software, required, systems, related, information, teams, opportunity, products, projects, project, using, not, and/or, preferred, role, within, health, technologies, qualifications, employment, scientist, quality, techniques, developing, scientific, medical, responsible, disability, responsibilities, candidate, results, expertise, global, highly, relevant, reports, multiple, organization","Boston","MA"
"1137","Technical Lead","Harvard University","data, research, development, skills, business, learning, years, working, management, including, software, required, knowledge, systems, related, environment, solutions, information, opportunity, technology, status, projects, scientists, communication, tools, computer, not, across, statistical, role, services, health, technologies, qualifications, engineers, employment, techniques, building, developing, excellent, medical, employer, responsible, disability, responsibilities, national, performance, candidate, python, gender, looking, applications, program, maintain, reports, multiple, internal, programs","Boston","MA"
"1138","Senior Imaging Scientist","Vertex","data, research, development, skills, ability, analysis, years, working, management, including, required, environment, teams, analytics, project, clinical, communication, across, understanding, models, statistical, role, within, technologies, scientist, advanced, medical, responsibilities, candidate, results, applications, expertise, operations, highly, methods","Boston","MA"
"1139","Associate Director, Storefront Engineering - Inspire","Wayfair","data, development, skills, business, ability, years, management, technical, software, engineering, related, information, teams, analytics, technology, projects, scientists, communication, tools, not, across, understanding, within, customer, problems, engineers, customers, into, analytical, building, developing, scientific, excellent, responsible, performance, looking, operations, highly, insights, maintain, reports, multiple, organization, perform","Boston","MA"
"1140","Research Technologist","Massachusetts General Hospital(MGH)","data, research, skills, ability, years, management, technical, required, related, opportunity, technology, status, project, communication, computer, and/or, understanding, preferred, statistical, qualifications, problems, analytical, techniques, excellent, employer, responsible, responsibilities, results, applications, maintain, reports, organization, perform","Boston","MA"
"1141","Finance Analyst - Quantitative Modeling","Santander Bank","data, development, skills, business, ability, analysis, years, management, software, required, knowledge, related, solutions, information, teams, analytics, status, projects, project, using, tools, requirements, and/or, across, models, preferred, statistical, within, complex, qualifications, problems, analytical, quality, techniques, advanced, excellent, responsible, performance, highly, maintain, modeling, relevant, reports, organization, internal, perform","Boston","MA"
"1142","Technology Advisor","Personnel Management Consultants","data, ability, analysis, years, including, engineering, related, technology, scientists, communication, computer, not, understanding, preferred, qualifications, scientific, excellent, medical, national, looking, clients, perform","Boston","MA"
"1143","Technical Product Manager","Wayfair","data, development, skills, business, ability, learning, analysis, years, working, management, technical, software, engineering, systems, related, information, analytics, technology, products, scientists, communication, and/or, across, understanding, statistical, role, customer, complex, problems, engineers, customers, into, analytical, techniques, building, candidate, operations, maintain, marketing, modeling, multiple, internal","Boston","MA"
"1144","Machine Learning Engineer with Java","WinterWyman","skills, learning, years, working, software, environment, information, technology, requirements, role, customers, marketing","Boston","MA"
"1145","Software Development Engineer","Karen Clark & Company","data, development, business, ability, working, software, engineering, related, environment, opportunity, scientists, using, computer, role, within, technologies, complex, qualifications, problems, performance, clients, expertise, methods","Boston","MA"
"1146","Senior Business Intelligence Consultant","Cogito Corporation","data, development, business, ability, years, working, technical, including, software, required, systems, related, environment, information, teams, analytics, opportunity, technology, status, scientists, using, communication, tools, requirements, not, and/or, across, understanding, statistical, role, within, customer, health, employment, into, developing, employer, responsible, disability, national, results, gender, looking, clients, expertise, insights, relevant, reports, statistics","Boston","MA"
"1147","Senior Scientist Biology, Metabolic Complications, Cardiovascular & Metabolism Discovery (1 of 2)","Johnson & Johnson Family of Companies","data, research, development, skills, ability, years, technical, including, required, environment, solutions, information, opportunity, and/or, understanding, models, preferred, role, within, health, complex, qualifications, problems, scientist, techniques, scientific, medical, employer, responsibilities, candidate, results, relevant, methods, organization","Boston","MA"
"1148","Senior Bioinformatics Scientist","Merck","data, research, skills, ability, learning, analysis, years, required, knowledge, related, environment, information, teams, analytics, opportunity, technology, products, projects, project, communication, computer, not, and/or, preferred, statistical, role, health, qualifications, employment, scientist, developing, scientific, advanced, excellent, medical, disability, responsibilities, candidate, applications, global, highly, programming, methods, organization, internal, perform, algorithms","Boston","MA"
"1149","Clinical Rsch. Coord., Sr.","Massachusetts General Hospital(MGH)","data, research, skills, ability, years, working, management, including, required, knowledge, related, solutions, opportunity, status, scientists, clinical, communication, requirements, and/or, preferred, health, qualifications, problems, into, quality, developing, excellent, employer, responsible, applications, organization, programs","Boston","MA"
"1150","Marketing Manager","Decision Resources Group","data, development, skills, business, ability, analysis, years, working, management, including, environment, solutions, information, analytics, opportunity, technology, status, projects, scientists, project, communication, requirements, not, and/or, across, understanding, role, services, within, employment, techniques, medical, responsible, disability, national, performance, results, gender, clients, global, insights, maintain, marketing, organization, programs","Boston","MA"
"1151","Research Assistant II","Boston Children's Hospital","data, research, development, skills, ability, analysis, working, management, including, required, knowledge, teams, opportunity, technology, status, scientists, models, within, health, employment, techniques, scientific, advanced, medical, employer, responsible, national, gender, global, relevant","Boston","MA"
"1152","BUSINESS SPECIALIST / PER DIEM / ROTATING - BWH EMERGENCY DEPARTMENT","Brigham & Women's Hospital(BWH)","data, ability, required, knowledge, information, opportunity, status, clinical, requirements, computer, understanding, preferred, services, within, customer, health, qualifications, employment, customers, scientific, medical, employer, disability, national, gender, organization, perform","Boston","MA"
"1153","BIOINFORMATICIAN I /DEPT OF PATHOLOGY/ 40 HOURS","Brigham & Women's Hospital(BWH)","data, research, development, analysis, years, working, technical, including, required, knowledge, related, solutions, information, opportunity, technology, status, scientists, project, using, clinical, tools, computer, not, and/or, preferred, statistical, services, qualifications, into, developing, scientific, advanced, medical, candidate, python, program, insights, maintain, relevant, methods, multiple, organization, statistics","Boston","MA"
"1154","Program Coordinator","Massachusetts General Hospital(MGH)","data, research, skills, ability, years, working, management, technical, required, related, environment, information, opportunity, technology, status, projects, scientists, project, communication, requirements, preferred, within, qualifications, into, developing, scientific, excellent, employer, responsibilities, candidate, applications, program, operations, highly, programming, reports, multiple, organization","Boston","MA"
"1155","Middle/Senior level Data Engineer","Workbridge Associates","data, development, skills, ability, years, technical, software, required, knowledge, engineering, related, environment, solutions, analytics, technology, scientists, clinical, communication, computer, not, across, health, complex, problems, engineers, building, excellent, responsible, responsibilities, candidate, results, python, expertise, internal","Boston","MA"
"1156","Bioinformatician - CBioportal Developer - Cancer Genomics","Global Pharmaceutical Company via RCH Solutions","data, research, development, skills, ability, learning, analysis, software, related, projects, scientists, clinical, communication, requirements, computer, not, statistical, role, customer, scientist, developing, scientific, candidate, applications, programming, modeling","Boston","MA"
"1157","Director, Product Availability - CastleGate","Wayfair","data, development, skills, business, ability, analysis, years, working, management, including, required, engineering, environment, solutions, teams, analytics, technology, products, projects, project, across, understanding, role, services, customer, complex, problems, customers, scientist, analytical, quality, building, excellent, responsible, performance, candidate, results, looking, applications, operations, highly, insights, relevant, multiple","Boston","MA"
"1158","Product Manager, IoT","DataRobot","data, development, skills, business, learning, analysis, years, working, management, software, engineering, environment, teams, analytics, status, scientists, using, communication, requirements, computer, not, and/or, within, customer, complex, engineers, employment, customers, advanced, excellent, disability, responsibilities, national, gender, clients, maintain, relevant, internal, statistics","Boston","MA"
"1159","Lead Python Software Engineer IoT","TVision Insights","data, development, skills, years, working, technical, software, knowledge, systems, related, environment, teams, technology, scientists, project, communication, tools, requirements, computer, not, services, health, qualifications, engineers, building, employer, disability, performance, python, operations, insights, programming, relevant, programs, algorithms","Boston","MA"
"1160","Public Health Specialist","Northeastern University","data, research, skills, ability, technical, including, required, information, teams, opportunity, projects, project, communication, across, health, employer, responsible, candidate, applications, reports, multiple","Boston","MA"
"1161","TECHNICAL RESEARCH ASSISTANT / 40 HOURS / DAY / BWH GENETICS","Brigham & Women's Hospital(BWH)","data, skills, ability, analysis, working, including, required, status, using, communication, statistical, qualifications, techniques, excellent, medical, results, maintain, relevant, methods, organization, statistics, perform","Boston","MA"
"1162","Senior Imaging Scientist","Vertex Pharmaceuticals","data, research, development, skills, ability, analysis, years, working, management, including, required, environment, teams, analytics, project, clinical, communication, across, understanding, models, statistical, role, within, technologies, qualifications, scientist, advanced, medical, responsibilities, candidate, results, applications, expertise, operations, highly, methods","Boston","MA"
"1163","Marketing Research Analyst III","Eastern Bank","data, research, development, skills, business, years, working, management, including, required, solutions, analytics, technology, using, communication, tools, requirements, across, models, role, customer, problems, customers, developing, excellent, results, operations, marketing, reports, methods, internal","Boston","MA"
"1164","Executive Assistant, Grants Administration (Monday-Friday, 40 Hr Days)","Boston Medical Center (BMC)","data, research, skills, ability, years, management, required, related, scientists, project, using, communication, preferred, excellent, medical, responsible, applications, highly, reports","Boston","MA"
"1165","Senior Associate Scientist In Vivo Pharmacology, Metabolic Complications, Cardiovascular & Metabolism Discovery (1 of 2)","Johnson & Johnson Family of Companies","data, research, development, skills, business, analysis, years, working, technical, including, required, knowledge, systems, environment, solutions, information, teams, opportunity, project, and/or, models, preferred, role, within, health, complex, qualifications, scientist, techniques, scientific, medical, employer, responsibilities, candidate, program, relevant, methods, organization","Boston","MA"
"1166","Sr. Program Manager - Quality Assurance","Amazon.com","data, research, development, skills, business, ability, learning, analysis, years, working, management, technical, including, software, engineering, systems, related, environment, solutions, teams, analytics, technology, products, status, scientists, project, using, communication, tools, requirements, not, and/or, across, understanding, preferred, statistical, role, services, customer, technologies, qualifications, problems, engineers, customers, into, analytical, quality, techniques, building, developing, excellent, responsible, responsibilities, performance, candidate, results, looking, applications, program, expertise, operations, highly, insights, modeling, reports, multiple, organization, programs","Boston","MA"
"1167","Senior Scientist - GMP - HPLC - Empower - Small Molecule","PPD","data, research, development, skills, ability, analysis, working, management, technical, including, software, required, knowledge, systems, environment, solutions, information, status, project, clinical, communication, requirements, computer, not, and/or, understanding, preferred, role, services, within, health, technologies, qualifications, employment, into, scientist, analytical, techniques, developing, scientific, employer, disability, responsibilities, national, results, gender, clients, operations, global, relevant, reports, multiple, organization, programs, perform","Boston","MA"
"1168","RESEARCH DATA ANALYST,School of Dental Medicine, Health Policy/Health Services Research","Boston University","data, skills, analysis, management, software, required, knowledge, opportunity, status, project, preferred, statistical, complex, employment, analytical, advanced, employer, disability, national, gender, programming","Boston","MA"
"1169","Senior Statistical Analyst","Harnham","data, skills, ability, analysis, working, technical, including, projects, using, tools, across, models, statistical, role, customer, responsible, performance, python, looking, insights, marketing, multiple, statistics","Boston","MA"
"1170","Manager, Supply Chain Analytics - Forecasting & Capacity Modeling","Wayfair","data, skills, business, analysis, years, technical, including, software, engineering, environment, solutions, teams, analytics, technology, projects, scientists, project, using, communication, requirements, not, across, models, preferred, statistical, role, complex, problems, customers, into, analytical, building, responsible, candidate, python, looking, applications, operations, insights, modeling, internal, statistics, programs","Boston","MA"
"1171","Upstream Technology Principal Research Analyst, CERAWeek","IHS Markit","research, development, skills, business, ability, analysis, years, working, management, including, required, engineering, related, environment, information, teams, opportunity, technology, status, projects, project, communication, computer, and/or, across, preferred, customer, complex, employment, into, developing, excellent, disability, national, candidate, gender, clients, applications, program, expertise, global, highly, maintain, programming, relevant, reports, organization, internal","Boston","MA"
"1172","Product Manager, Enterprise Platform","DataRobot","data, skills, business, learning, analysis, working, management, technical, engineering, systems, solutions, opportunity, technology, products, status, scientists, using, tools, requirements, not, across, models, role, customer, complex, engineers, employment, customers, into, excellent, disability, responsibilities, national, candidate, results, gender, internal","Boston","MA"
"1173","Media Consumption iOS Engineer","Twitter","data, development, skills, learning, years, working, management, including, software, knowledge, systems, information, teams, opportunity, technology, status, scientists, using, requirements, computer, not, across, role, customer, technologies, problems, engineers, into, building, employer, responsible, disability, national, performance, gender, expertise","Boston","MA"
"1174","Business Development Manager (Northeast Region)","Catapult Sports","data, research, development, business, ability, years, working, management, software, required, information, teams, analytics, technology, products, scientists, using, and/or, across, understanding, preferred, role, services, customer, customers, quality, developing, scientific, employer, responsibilities, national, performance, candidate, clients, insights, maintain, reports, multiple, organization, programs, perform","Boston","MA"
"1175","Image Analysis Developer - Autoradiography and Ultrasound","Invicro","data, research, development, skills, ability, learning, analysis, years, working, including, software, required, knowledge, engineering, environment, status, projects, tools, requirements, computer, not, preferred, qualifications, customers, into, scientist, analytical, techniques, employer, responsible, disability, responsibilities, candidate, python, gender, applications, expertise, programming, relevant, reports, methods, internal, algorithms","Boston","MA"
"1176","Territory Sales Manager - Boston","JUUL Labs","data, skills, business, ability, analysis, years, including, software, required, knowledge, environment, teams, analytics, opportunity, technology, products, scientists, using, communication, computer, not, and/or, understanding, role, within, customer, technologies, engineers, into, analytical, building, excellent, medical, responsible, national, performance, results, looking, expertise, global, insights, marketing","Boston","MA"
"1177","Senior Product Designer","PillPack","data, research, skills, ability, years, software, information, opportunity, technology, products, status, projects, scientists, using, tools, customer, problems, engineers, employment, customers, into, disability, national, applications, methods","Boston","MA"
"1178","Vice President /Group Director, Experience Strategy","DigitasLBi","data, development, skills, business, ability, management, including, systems, solutions, teams, technology, products, communication, across, understanding, models, role, services, analytical, quality, building, looking, clients, expertise, insights, methods, organization","Boston","MA"
"1179","Scientist, Process Chemistry","Takeda Pharmaceutical","data, research, development, skills, ability, years, working, management, technical, including, required, knowledge, related, environment, solutions, information, teams, technology, projects, project, communication, tools, and/or, across, models, within, health, complex, problems, employment, scientist, analytical, techniques, developing, scientific, advanced, responsible, results, looking, expertise, operations, global, highly, relevant, reports, multiple, organization, internal, programs","Boston","MA"
"1180","Research Scientist/Principal Investigator - Modeling & Simulation - Waltham, MA","Evidera","data, research, development, skills, ability, analysis, years, management, including, required, knowledge, engineering, environment, analytics, opportunity, products, status, projects, project, using, clinical, communication, understanding, models, statistical, role, services, within, health, complex, qualifications, employment, quality, developing, scientific, advanced, excellent, medical, responsible, disability, responsibilities, national, candidate, gender, clients, operations, global, programming, modeling, relevant, methods, statistics","Boston","MA"
"1181","Presales Consultant, Science","SSC","data, skills, business, ability, working, including, software, systems, related, solutions, analytics, products, scientists, tools, understanding, role, services, customer, health, technologies, customers, building, scientific, candidate, looking, applications, expertise, highly, multiple","Boston","MA"
"1182","IDBS - Product Business Manager","AB Sciex Pte","data, research, development, skills, business, ability, analysis, years, management, including, software, required, knowledge, solutions, information, teams, technology, products, scientists, project, communication, requirements, not, and/or, across, role, customer, technologies, complex, qualifications, customers, into, quality, scientific, advanced, medical, responsible, responsibilities, performance, operations, global, marketing, relevant, multiple, organization, internal, perform","Boston","MA"
"1183","Lead Backend Engineer","TrueMotion","data, development, skills, learning, years, working, management, technical, including, required, engineering, systems, environment, teams, opportunity, technology, status, scientists, using, not, and/or, understanding, role, services, within, technologies, problems, engineers, building, employer, disability, national, candidate, python, gender, looking, applications, insights, programming","Boston","MA"
"1184","Senior Manager, Data Science","TiVo","data, skills, business, ability, learning, analysis, management, including, engineering, related, environment, solutions, teams, analytics, opportunity, technology, products, scientists, using, communication, computer, understanding, models, preferred, statistical, health, problems, engineers, employment, customers, quality, techniques, advanced, employer, python, operations, insights, programming, organization, programs, algorithms","Boston","MA"
"1185","Associate Director Signal Management","Takeda Pharmaceutical","data, development, skills, business, ability, analysis, working, management, including, required, knowledge, related, teams, scientists, project, clinical, communication, computer, preferred, within, health, complex, employment, excellent, medical, looking, global, maintain, relevant, organization, internal, programs","Boston","MA"
"1186","Quantitative Analyst-Global Treasury, AVP","State Street","data, research, skills, business, ability, analysis, years, working, management, technical, including, systems, related, solutions, analytics, projects, project, using, communication, tools, requirements, across, understanding, models, statistical, services, within, customer, complex, qualifications, into, analytical, techniques, developing, advanced, responsible, performance, candidate, results, python, global, maintain, modeling, internal, statistics, perform","Boston","MA"
"1187","Vice President, Development","Massachusetts General Hospital(MGH)","data, research, development, skills, ability, years, management, including, required, systems, related, information, teams, opportunity, status, scientists, clinical, communication, not, and/or, across, preferred, services, within, health, complex, qualifications, building, medical, employer, responsibilities, national, performance, results, applications, program, operations, global, highly, maintain, marketing, modeling, relevant, reports, organization, programs","Boston","MA"
"1188","Senior Associate - Cognitive Data Scientist Natural Language Processing","KPMG","data, development, skills, business, ability, learning, years, working, including, software, knowledge, engineering, related, environment, solutions, information, teams, analytics, opportunity, products, status, project, communication, tools, requirements, computer, models, services, customer, engineers, employment, into, scientist, developing, advanced, excellent, employer, disability, national, results, gender, clients, expertise, highly, marketing, organization, internal, statistics, perform, algorithms","Boston","MA"
"1189","Quantitative Analyst, AVP","State Street","data, development, business, analysis, working, management, technical, including, knowledge, systems, information, analytics, technology, using, communication, tools, requirements, understanding, models, statistical, technologies, complex, qualifications, analytical, building, developing, advanced, responsibilities, candidate, results, modeling, reports, methods, internal, statistics","Boston","MA"
"1190","Manager Data Ingest Engineering Group","MassMutual","data, development, skills, business, learning, years, working, management, technical, including, software, engineering, systems, related, solutions, information, analytics, opportunity, technology, products, projects, scientists, using, communication, tools, requirements, computer, understanding, services, within, customer, technologies, complex, problems, engineers, employment, customers, into, quality, building, developing, advanced, medical, employer, responsible, disability, performance, candidate, results, python, program, global, highly, maintain, relevant, organization","Boston","MA"
"1191","Computational Lead Scientist - Translational Immunogenomics Lab","Dana-Farber Cancer Institute","data, skills, ability, learning, analysis, years, working, including, software, related, information, projects, scientists, project, using, communication, tools, computer, statistical, technologies, complex, qualifications, problems, scientist, techniques, developing, scientific, excellent, candidate, results, python, highly, insights, algorithms","Boston","MA"
"1192","BIOINFORMATICIAN I / 40 HOUR / DAY / BWH CHANNING DIVISION OF NETWORK MEDICINE","Brigham & Women's Hospital(BWH)","data, research, learning, analysis, including, software, required, systems, opportunity, technology, status, projects, scientists, project, using, clinical, computer, understanding, preferred, qualifications, employment, quality, techniques, medical, employer, responsible, disability, national, candidate, python, expertise, programming, organization, statistics, perform","Boston","MA"
"1193","Data Librarian/Lead Data Librarian","Takeda Pharmaceutical","data, development, skills, business, analysis, years, working, management, technical, including, knowledge, environment, information, analytics, technology, scientists, project, communication, tools, requirements, computer, understanding, role, employment, scientist, analytical, quality, techniques, developing, scientific, excellent, responsibilities, expertise, relevant, reports, statistics, perform","Boston","MA"
"1194","Manager Data Architects and Database Systems Group","MassMutual","data, development, skills, business, learning, analysis, years, working, management, technical, including, software, engineering, systems, related, environment, solutions, information, analytics, opportunity, technology, products, projects, scientists, using, communication, requirements, computer, across, understanding, models, role, services, within, customer, technologies, complex, problems, engineers, employment, customers, into, quality, techniques, building, developing, advanced, medical, employer, responsible, disability, performance, candidate, results, python, applications, program, global, highly, maintain, modeling, relevant, organization","Boston","MA"
"1195","Manager of Machine Learning - Prod Ops","Wayfair","data, skills, business, ability, learning, analysis, working, management, technical, including, engineering, systems, related, solutions, opportunity, technology, projects, communication, not, and/or, across, understanding, models, preferred, statistical, role, within, customer, complex, problems, engineers, into, techniques, advanced, excellent, python, looking, operations, highly, programming, relevant, multiple, organization, algorithms","Boston","MA"
"1196","Principal Big Data Engineer (Boston)","QuantumBlack","data, development, skills, business, ability, analysis, working, management, including, software, engineering, systems, solutions, information, teams, analytics, opportunity, projects, scientists, using, tools, requirements, across, understanding, models, within, technologies, complex, into, analytical, techniques, building, advanced, excellent, results, python, clients, expertise, highly, programming, multiple","Boston","MA"
"1197","Research Specialist","Massachusetts General Hospital(MGH)","data, research, development, skills, ability, analysis, years, working, management, technical, including, software, related, environment, information, teams, opportunity, status, projects, project, using, clinical, computer, not, and/or, across, models, preferred, statistical, within, health, qualifications, problems, into, scientific, medical, employer, responsibilities, national, candidate, results, python, applications, operations, global, highly, modeling, relevant, methods, multiple, organization, perform","Boston","MA"
"1198","Research Associate","Beth Israel Deaconess Medical Center","data, research, skills, ability, analysis, years, working, technical, required, knowledge, related, teams, technology, status, project, using, clinical, and/or, preferred, customer, health, complex, problems, customers, scientist, techniques, advanced, medical, responsible, results, applications, operations, maintain, methods, internal, perform","Boston","MA"
"1199","Sr. Scientist, Seismology","AIR Worldwide","data, research, skills, business, ability, analysis, years, management, including, software, knowledge, engineering, related, solutions, information, using, communication, computer, not, models, services, techniques, scientific, advanced, responsibilities, results, python, clients, global, programming, modeling","Boston","MA"
"1200","Study Manager","Invicro","data, research, development, skills, ability, analysis, years, working, including, engineering, environment, status, projects, scientists, project, clinical, communication, and/or, across, understanding, role, within, customer, complex, qualifications, problems, customers, analytical, quality, techniques, developing, scientific, excellent, employer, responsible, disability, candidate, results, gender, applications, operations, maintain, relevant, organization, internal","Boston","MA"
"1201","QA Engineer","Schireson","data, development, skills, business, ability, analysis, years, working, including, software, knowledge, engineering, related, environment, solutions, analytics, technology, products, scientists, project, using, tools, computer, understanding, preferred, services, complex, quality, advanced, excellent, responsibilities, candidate, python, looking, clients, maintain, modeling","Boston","MA"
"1202","Principal Statistical Programmer","PHASTAR","data, skills, ability, analysis, working, management, including, related, environment, projects, project, using, clinical, communication, and/or, across, statistical, services, within, quality, responsibilities, looking, programming, relevant, reports, methods, internal","Boston","MA"
"1203","VP of Machine Learning","Harnham","data, business, learning, years, working, management, technical, teams, analytics, opportunity, technology, projects, communication, tools, computer, across, models, statistical, role, within, qualifications, scientist, developing, national, performance, results, python, looking, relevant, multiple, statistics, algorithms","Boston","MA"
"1204","Machine Learning Engineer â New Ideas â Boston","Newton Colmore Consulting Ltd","development, skills, ability, learning, years, working, technical, software, engineering, solutions, information, projects, not, models, role, within, technologies, engineers, quality, developing, scientific, excellent, medical, python, looking, programming, programs","Boston","MA"
"1205","Sr. Data Analyst/Data Lead - Customer Success","Celect","data, development, business, ability, learning, analysis, years, working, engineering, related, environment, solutions, analytics, products, scientists, tools, requirements, computer, across, understanding, statistical, customer, complex, customers, building, responsible, responsibilities, performance, results, looking, insights, maintain, modeling, reports","Boston","MA"
"1206","Senior Machine Learning Engineer","MGH & BWH Center for Clinical Data Science","data, research, development, skills, learning, working, including, software, required, engineering, systems, environment, solutions, products, using, clinical, communication, tools, models, services, problems, engineers, into, building, developing, medical, results, python, applications, highly, reports","Boston","MA"
"1207","Principal Data Scientist","Darwin Recruitment","data, research, learning, knowledge, systems, related, information, analytics, project, using, computer, across, role, problems, analytical, techniques, building, responsible, performance, looking, relevant","Boston","MA"
"1208","Research Fellow","Dana-Farber Cancer Institute","data, research, analysis, including, not, models, role, qualifications, scientist, developing, responsibilities, reports","Boston","MA"
"1209","Data Engineer with Python Experience","Workbridge Associates","data, skills, ability, required, knowledge, systems, solutions, information, opportunity, technology, scientists, project, using, not, across, role, technologies, complex, into, responsibilities, results, python, clients, expertise, programming, multiple","Boston","MA"
"1210","Associate Analyst, Research Analytics","LPL Financial","data, research, development, skills, business, ability, analysis, years, working, management, technical, including, software, required, systems, environment, solutions, analytics, opportunity, technology, projects, and/or, preferred, services, within, health, into, analytical, quality, advanced, excellent, responsible, responsibilities, performance, candidate, clients, organization, programs","Boston","MA"
"1211","Product Manager â Personalization Platform","Spotify","data, development, learning, years, working, management, including, engineering, environment, products, scientists, requirements, across, models, services, within, engineers, quality, building, organization, algorithms","Boston","MA"
"1212","Research Scientist Reaction Optimization","Vertex","data, development, skills, ability, learning, analysis, years, technical, required, knowledge, systems, teams, projects, project, communication, preferred, statistical, within, technologies, complex, qualifications, advanced, responsibilities, candidate, results, methods, multiple, perform","Boston","MA"
"1213","Senior Analyst, Research","Initiative for a Competitive Inner City (ICIC)","data, research, development, skills, business, ability, analysis, working, management, including, software, required, knowledge, related, information, opportunity, projects, project, using, communication, not, statistical, within, problems, excellent, national, performance, candidate, python, programming, reports, multiple, organization, internal, statistics, perform","Boston","MA"
"1214","Software Engineer, Analytics","Humanyze","data, skills, business, learning, analysis, working, management, software, required, engineering, related, environment, solutions, teams, analytics, scientists, communication, tools, computer, services, problems, into, quality, developing, scientific, advanced, medical, responsible, disability, performance, python, expertise, insights, programming, modeling, algorithms","Boston","MA"
"1215","Account Manager USA","Ontoforce NV","data, research, skills, business, ability, working, management, related, environment, solutions, information, teams, technology, products, status, projects, communication, requirements, computer, understanding, role, services, customer, qualifications, customers, scientist, developing, excellent, responsibilities, candidate, results, clients, maintain, marketing, reports, internal, statistics","Boston","MA"
"1216","Bioinformatics Analyst I - Wu Lab","Dana-Farber Cancer Institute","data, research, development, skills, ability, learning, analysis, including, software, required, knowledge, engineering, environment, teams, projects, scientists, project, using, communication, tools, computer, not, statistical, within, technologies, qualifications, problems, techniques, developing, excellent, candidate, python, applications, highly, insights, programming, methods, statistics, algorithms","Boston","MA"
"1217","Manager, Ecommerce Optimization","Chewy","data, analysis, years, working, technical, knowledge, environment, analytics, scientists, using, tools, across, statistical, role, within, customer, analytical, building, advanced, candidate, results, looking, program, highly, marketing, organization, statistics","Boston","MA"
"1218","Biology Software Developer","Harvard University","data, research, development, years, management, including, software, environment, information, opportunity, technology, status, projects, tools, computer, not, across, preferred, services, health, complex, qualifications, employment, excellent, medical, employer, responsible, disability, responsibilities, national, gender, looking, program, programs","Boston","MA"
"1219","Business Development Manager (NBA)","Catapult Sports","data, research, development, business, ability, years, working, management, software, required, information, teams, analytics, technology, products, scientists, using, across, understanding, preferred, role, services, customer, customers, quality, developing, scientific, employer, responsibilities, national, performance, candidate, clients, insights, maintain, reports, organization, perform","Boston","MA"
"1220","Software Engineer","Harvard University","data, research, development, skills, ability, analysis, years, working, management, technical, including, software, engineering, related, environment, information, analytics, opportunity, technology, status, projects, tools, computer, not, preferred, services, health, qualifications, problems, employment, into, scientist, developing, excellent, medical, employer, disability, responsibilities, national, performance, candidate, gender, looking, program, programs, algorithms","Boston","MA"
"1221","Coordinator I (Senior Search and Review Specialist)","Harvard University","data, research, skills, learning, years, management, including, required, related, environment, information, opportunity, status, scientists, computer, not, and/or, preferred, services, health, qualifications, employment, building, excellent, medical, employer, responsible, disability, responsibilities, national, gender, program, reports, programs","Boston","MA"
"1222","Senior Backend Engineer (Core App)","DataRobot","data, development, years, management, including, knowledge, engineering, technology, status, projects, scientists, communication, tools, computer, not, models, services, employment, building, developing, disability, responsibilities, national, performance, python, gender, looking, maintain","Boston","MA"
"1223","Propulsion Systems Scientist/Engineer","Physical Sciences Inc.","data, research, development, skills, ability, years, working, technical, required, knowledge, engineering, systems, related, scientists, communication, and/or, across, understanding, technologies, engineers, building, developing, advanced, excellent, medical, disability, python, looking, multiple","Boston","MA"
"1224","SAS Programmer I","Harvard University","data, research, development, skills, learning, analysis, years, management, including, knowledge, related, information, opportunity, technology, status, scientists, clinical, communication, requirements, computer, not, and/or, across, preferred, statistical, services, within, health, qualifications, employment, scientific, excellent, medical, employer, responsible, disability, responsibilities, national, results, gender, program, operations, maintain, programming, reports, organization, internal, programs","Boston","MA"
"1225","IDBS - Product Business Manager","Danaher","data, research, development, skills, business, ability, analysis, years, management, including, software, required, knowledge, solutions, information, teams, technology, products, scientists, project, communication, requirements, not, and/or, across, role, customer, technologies, complex, qualifications, customers, into, quality, scientific, advanced, medical, responsible, responsibilities, performance, operations, global, marketing, relevant, multiple, organization, internal, perform","Boston","MA"
"1226","Associate Scientist","ProClinical","data, skills, ability, analysis, years, working, technical, software, knowledge, environment, using, analytical, relevant, methods, perform","Boston","MA"
"1227","Computer Vision Research Scientist","Amazon Go","data, research, skills, business, ability, learning, technical, including, related, solutions, technology, projects, project, communication, requirements, computer, and/or, role, customer, technologies, complex, into, scientist, building, developing, advanced, python, looking, algorithms","Boston","MA"
"1228","Principal Machine Learning Scientist","Cogito Corporation","data, research, development, skills, ability, learning, years, working, technical, including, software, knowledge, engineering, systems, related, environment, opportunity, status, using, communication, requirements, computer, not, models, within, health, technologies, engineers, employment, scientist, techniques, scientific, employer, disability, national, candidate, python, gender, programming, modeling, statistics","Boston","MA"
"1229","Harvard - FDA INFORMED Post-Doctoral Fellowship in Artificial Intelligence and Machine Learning","HiTS","data, research, development, skills, learning, years, working, technical, including, required, engineering, related, environment, solutions, information, analytics, opportunity, technology, status, using, clinical, communication, requirements, computer, not, across, understanding, preferred, health, technologies, qualifications, employment, scientist, techniques, building, developing, advanced, excellent, medical, employer, disability, national, python, gender, applications, program, programming, modeling, relevant, methods, statistics, algorithms","Boston","MA"
